,Player,Points,Rebound,Assist,Steal,Block
0,Kareem Abdul-Jabbar,38387,17440,5660,1160,3189
1,Karl Malone,36928,14968,5248,2085,1145
2,LeBron James,35189,9697,9636,2057,979
3,Kobe Bryant,33643,7047,6306,1944,640
4,Michael Jordan,32292,6672,5633,2514,893
5,Dirk Nowitzki,31560,11489,3651,1210,1281
6,Wilt Chamberlain,31419,23924,4643,-,-
7,Shaquille O'Neal,28596,13099,3026,739,2732
8,Moses Malone,27409,16212,1796,1089,1733
9,Elvin Hayes,27313,16279,2398,864,1771
10,Carmelo Anthony,26971,7430,3311,1163,583
11,Hakeem Olajuwon,26946,13748,3058,2162,3830
12,Oscar Robertson,26710,7804,9887,77,4
13,Dominique Wilkins,26668,7169,2677,1378,642
14,Tim Duncan,26496,15091,4225,1025,3020
15,Paul Pierce,26397,7527,4708,1752,745
16,John Havlicek,26395,8007,6114,476,117
17,Kevin Garnett,26071,14662,5445,1859,2037
18,Vince Carter,25728,6606,4714,1530,888
19,Alex English,25613,6538,4351,1067,833
20,Reggie Miller,25279,4182,4141,1505,299
21,Jerry West,25192,5376,6238,81,23
22,Patrick Ewing,24815,11607,2215,1136,2894
23,Ray Allen,24505,5272,4361,1451,244
24,Allen Iverson,24368,3394,5624,1983,164
25,Charles Barkley,23757,12546,4215,1648,888
26,Kevin Durant,23491,6131,3586,962,968
27,Robert Parish,23334,14715,2180,1219,2361
28,Adrian Dantley,23177,5455,2830,944,150
29,Dwyane Wade,23165,4933,5701,1620,885
30,Elgin Baylor,23149,11463,3650,-,-
31,Clyde Drexler,22195,6677,6125,2207,719
32,Gary Payton,21813,5269,8966,2445,285
33,James Harden,21792,4708,5618,1353,469
34,Larry Bird,21791,8974,5695,1556,755
35,Hal Greer,21586,5665,4540,-,-
36,Russell Westbrook,21046,6494,7593,1572,279
37,Walt Bellamy,20941,14241,2544,52,48
38,Pau Gasol,20894,11305,3925,606,1941
39,Bob Pettit,20880,12849,2369,-,-
40,David Robinson,20790,10497,2441,1388,2954
41,George Gervin,20708,3607,2214,941,670
42,Mitch Richmond,20497,3801,3398,1211,254
43,Joe Johnson,20405,5059,5001,1071,260
44,Tom Chambers,20049,6703,2283,885,627
45,Antawn Jamison,20042,8157,1761,1048,421
46,LaMarcus Aldridge,19887,8454,2021,741,1129
47,John Stockton,19711,4051,15806,3265,315
48,Bernard King,19655,5060,2863,866,230
49,Clifford Robinson,19591,6306,3094,1402,1390
